Units Sold,Unit Price,Total Revenue,Rating,Reviews,year,month,day,Product Category_Books,Product Category_Clothing,Product Category_Electronics,Product Category_Home Appliances,Product Category_Sports,Region_Europe,Region_North America,Payment Method_Debit Card,Payment Method_PayPal
1,599.99,599.99,1,It constantly gets stuck under my furniture. Not as smart as advertised.,2024,11,14,False,False,False,True,False,True,False,False,False
1,120.0,120.0,0,This sweater started pilling horribly after the first wash. Poor quality.,2024,11,14,False,True,False,False,False,False,True,True,False
1,11.99,11.99,5,Life-changing book. The strategies are practical and actually work.,2024,11,14,True,False,False,False,False,False,False,False,False
1,34.0,34.0,5,This is my holy grail sunscreen. It feels like absolutely nothing on the skin.,2024,11,14,False,False,False,False,False,False,True,False,True
1,229.99,229.99,3,Powerful suction but a bit heavier than I expected. Gets the job done.,2024,11,14,False,False,False,True,False,True,False,False,True
1,199.95,199.95,5,Incredibly warm and lightweight. Perfect for chilly autumn hikes.,2024,11,14,False,True,False,False,False,False,False,True,False
2,13.99,27.98,4,A poignant and beautifully written story from a unique perspective.,2024,11,14,True,False,False,False,False,False,True,False,False
1,68.0,68.0,2,This broke me out terribly. Not suitable for my sensitive skin.,2024,11,14,False,False,False,False,False,True,False,True,False
1,24.99,24.99,4,Great grip and feel for outdoor courts. Holds up well on concrete.,2024,11,14,False,False,False,False,True,False,False,False,True
1,499.99,499.99,5,Finally got one! The graphics and load times are a game-changer.,2024,11,14,False,False,True,False,False,False,True,False,False
1,179.99,179.99,1,Stopped working after two weeks. The door hinge also feels flimsy.,2024,11,14,False,False,False,True,False,True,False,False,True
2,59.95,119.9,5,Worth the hype! So cozy and warm. The sole is durable for quick trips outside.,2024,11,14,False,True,False,False,False,False,False,False,False
1,34.0,34.0,3,Adds a nice glow but I didn't see much improvement in my skin texture.,2024,11,14,False,False,False,False,False,True,False,False,False
1,139.95,139.95,5,My go-to running shoe. Perfect balance of cushion and responsiveness.,2024,11,14,False,False,False,False,True,False,False,False,True
1,89.99,89.99,4,Charges my laptop and phone multiple times. A lifesaver for travel.,2024,11,14,False,False,True,False,False,False,True,False,False
1,189.49,189.49,4,Noticeably cleaner air and less dust. A bit noisy on the highest setting.,2024,11,14,False,False,False,True,False,True,False,True,False
1,89.5,89.5,2,The sizing is inconsistent. My usual size was way too tight.,2024,11,14,False,True,False,False,False,False,False,False,False
1,10.99,10.99,0,The plot was predictable and the characters felt flat. Could not finish it.,2024,11,24,True,False,False,False,False,False,True,False,True
1,24.0,24.0,5,So hydrating and not sticky at all. The vanilla scent is divine.,2024,11,24,False,False,False,False,False,True,False,True,False
1,39.99,39.99,3,It's very intense! Great for deep knots but can be painful to use.,2024,11,24,False,False,False,False,True,False,False,False,False
1,99.99,99.99,5,The ergonomics are perfect for all-day work. The scrolling is magical.,2024,11,24,False,False,True,False,False,False,True,False,False
1,199.99,199.99,4,This appliance does everything. It has saved me so much time in the kitchen.,2024,11,24,False,False,False,True,False,True,False,False,True
1,88.0,88.0,5,The most comfortable pants I own. Perfect for both lounging and working out.,2024,11,24,False,True,False,False,False,False,False,True,False
1,16.99,16.99,5,A mind-expanding book that completely changed my perspective on history.,2024,11,24,True,False,False,False,False,False,True,False,False
1,5.9,5.9,4,Unbeatable for the price. Really helped control my oiliness.,2024,11,24,False,False,False,False,False,True,False,False,True
1,44.95,44.95,5,Keeps ice frozen for over 24 hours. The durability is impressive.,2024,11,24,False,False,False,False,True,False,False,False,False
1,99.99,99.99,4,Consistent grind size and very low static. A great value for the price.,2024,11,24,False,False,False,True,False,True,False,False,False
1,95.0,95.0,1,Not enough arch support for me. They also started to smell quickly.,2024,11,24,False,True,False,False,False,False,False,False,True
1,48.0,48.0,2,Oxidized on my skin and turned orange. The shade range is misleading.,2024,11,26,False,False,False,False,False,True,False,False,False
1,149.95,149.95,5,Incredibly versatile for a full-body workout at home or on the go.,2024,11,26,False,False,False,False,True,False,False,False,True
2,129.95,259.9,4,Great sound for its size and fully waterproof. Perfect for the beach.,2024,11,26,False,False,True,False,False,False,True,False,False
1,249.99,249.99,5,Makes perfect rice every single time. The keep-warm function is fantastic.,2024,12,1,False,False,False,True,False,True,False,True,False
1,28.0,28.0,4,Warm and well-made. My go-to winter hat.,2024,12,1,False,True,False,False,False,False,False,False,False
1,13.25,13.25,5,A powerful and unforgettable memoir about resilience and the pursuit of knowledge.,2024,12,1,True,False,False,False,False,False,True,False,True
1,28.0,28.0,1,Cakey and settled into my fine lines almost immediately. Terrible.,2024,12,1,False,False,False,False,False,True,False,True,False
1,399.99,399.99,5,Essential peace of mind for any backcountry adventure. Reliable and compact.,2024,12,1,False,False,True,False,False,False,True,False,True
1,849.0,849.0,4,Cleans clothes thoroughly and is very energy efficient. The app is a bit clunky.,2024,12,1,False,False,False,True,False,True,False,True,False
1,250.0,250.0,5,So lightweight yet incredibly warm. I've never owned a better winter coat.,2024,12,1,False,True,False,False,False,False,False,False,False
1,12.99,12.99,5,A breathtaking reimagining of Greek mythology. The prose is absolutely beautiful.,2024,12,1,True,False,False,False,False,False,True,False,True
1,26.99,26.99,2,This mat is too thin and provides no joint support during floor poses.,2024,12,1,False,False,False,False,True,False,False,False,False
1,189.99,189.99,5,The screen is crisp and easy on the eyes. The battery life is incredible.,2024,12,1,False,False,True,False,False,False,True,False,True
1,449.95,449.95,5,A beast of a blender. It pulverizes everything into a perfectly smooth consistency.,2024,12,1,False,False,False,True,False,True,False,True,False
1,218.0,218.0,1,The fabric is beautiful but the fit is very strange and unflattering.,2024,12,1,False,True,False,False,False,False,False,False,False
1,11.99,11.99,4,A compelling and thought-provoking story about identity and family.,2024,12,1,True,False,False,False,False,False,True,False,True
1,32.0,32.0,5,A holy-grail product that keeps my pores clear and skin smooth.,2024,12,1,False,False,False,False,False,True,False,True,False
1,34.99,34.99,5,Keeps my coffee hot for hours. The lid is completely leak-proof.,2024,12,2,False,False,False,False,True,False,False,False,False
1,249.0,249.0,4,Transparency mode is incredible. Noise cancellation is top-notch.,2024,12,2,False,False,True,False,False,False,True,False,False
1,149.99,149.99,2,A gimmicky product. The battery life is pathetic and it doesn't hold much coffee.,2024,12,2,False,False,False,True,False,True,False,False,True
1,23.0,23.0,5,Extremely pigmented! A little dot goes a very long way. Beautiful finish.,2024,12,2,False,False,False,False,False,True,False,False,False
1,58.0,58.0,4,Great support for high-impact workouts. The fabric is soft and breathable.,2024,12,2,False,False,False,False,True,False,False,False,True
1,199.99,199.99,5,Completely transformed the ambiance of my home. So fun to control with my phone.,2024,12,2,False,False,False,True,False,True,False,False,False
3,18.0,54.0,2,The fabric is thin and the neckline stretched out after one wash.,2024,12,2,False,True,False,False,False,False,False,False,True
1,9.99,9.99,4,A unique and captivating fantasy concept with beautiful prose.,2024,12,2,True,False,False,False,False,False,True,True,False
1,20.0,20.0,4,This really helped calm my redness and irritated skin.,2024,12,2,False,False,False,False,False,True,False,False,False
1,199.0,199.0,1,Overpriced and underwhelming. The heat function is weak and the vibrations are loud.,2024,12,2,False,False,False,False,True,False,False,False,True
1,749.0,749.0,5,Perfect for note-taking and media consumption. The screen is gorgeous.,2024,12,2,False,False,True,False,False,False,True,False,False
1,9.99,9.99,4,A real page-turner with a twist I genuinely didn't see coming.,2024,12,2,True,False,False,False,False,False,True,True,False
1,55.0,55.0,5,Excellent touch and feel. The quality is top-tier for training.,2024,12,2,False,False,False,False,True,False,False,False,True
1,69.99,69.99,4,More than powerful enough for all my basic home projects.,2024,12,3,False,False,False,True,False,True,False,True,False
1,45.99,45.99,2,The fabric is cheap and wrinkles the moment you put it on.,2024,12,3,False,True,False,False,False,False,False,False,False
1,10.49,10.49,3,Well-written but the characters were frustrating. A bit overhyped for me.,2024,12,3,True,False,False,False,False,False,True,False,True
1,36.0,36.0,5,Finally found a perfect shade match! The finish is beautiful and long-lasting.,2024,12,3,False,False,False,False,False,True,False,True,False
1,749.0,749.0,5,My second one for the family. Just as impressive as the first.,2024,12,3,False,False,True,False,False,True,False,False,True
1,24.99,24.99,1,The non-stick coating started peeling after a month. Unsafe and disappointing.,2024,12,3,False,False,False,True,False,False,True,True,False
1,9.99,9.99,4,So refreshing and smells lovely. A great pick-me-up throughout the day.,2024,12,3,False,False,False,False,False,False,True,True,False
1,349.99,349.99,5,Keeps ice for days. The magnetic closure is genius and leak-proof.,2024,12,3,False,False,False,False,True,False,False,False,True
1,399.99,399.99,5,Unbeatable for action footage. The hyper-smooth stabilization is incredible.,2024,12,3,False,False,True,False,False,True,False,False,False
1,299.99,299.99,2,Constantly gets stuck on rug tassels. The mapping is not very smart.,2024,12,3,False,False,False,True,False,False,True,True,False
1,69.99,69.99,1,Completely different quality from my last pair. Thin material and poor stitching.,2024,12,3,False,True,False,False,False,False,False,False,True
1,13.5,13.5,5,A beautiful and thought-provoking concept. A very enjoyable read.,2024,12,3,True,False,False,False,False,True,False,True,False
1,89.99,89.99,4,Absolutely fantastic after one month of use! Didn't expect such good results on my skin.,2024,12,3,False,False,False,False,False,False,True,False,False
2,180.0,360.0,1,The quality is shocking. Avoid this product......,2024,12,4,False,True,False,False,False,False,False,False,False
1,19.99,19.99,5,The only sunscreen that doesn't break me out or feel greasy.,2024,12,4,False,False,False,False,False,False,True,False,False
1,299.0,299.0,4,A game-changer for muscle recovery. It's powerful but quite loud.,2024,12,4,False,False,False,False,True,False,False,False,True
1,1099.99,1099.99,5,Blazing fast performance and the battery lasts all day. Perfect for work.,2024,12,4,False,False,True,False,False,True,False,False,False
1,229.99,229.99,3,Powerful suction but a bit heavier than I expected. Gets the job done.,2024,12,4,False,False,False,True,False,False,True,True,False
1,139.0,139.0,5,Incredibly warm and comfortable. The quality is exceptional as always.,2024,12,4,False,True,False,False,False,False,False,False,False
1,14.99,14.99,5,Could not put this down! A fantastic and gripping story from start to finish.,2024,12,4,True,False,False,False,False,True,False,False,True
1,68.0,68.0,2,This broke me out terribly. Not suitable for my sensitive skin.,2024,12,4,False,False,False,False,False,False,True,True,False
1,24.99,24.99,4,Great grip and feel for outdoor courts. Holds up well on concrete.,2024,12,4,False,False,False,False,True,False,False,False,False
1,499.99,499.99,5,Finally got one! The graphics and load times are a game-changer.,2024,12,4,False,False,True,False,False,True,False,False,True
1,179.99,179.99,1,Stopped working after two weeks. The door hinge also feels flimsy.,2024,12,4,False,False,False,True,False,False,True,False,False
1,13.5,13.5,4,A beautiful and thought-provoking concept. A very enjoyable read.,2024,12,4,True,False,False,False,False,True,False,False,False
1,34.0,34.0,5,My new favorite shade! The formula is long-lasting and not drying.,2024,12,4,False,False,False,False,False,False,True,False,True
1,59.99,59.99,5,The best indoor basketball I've ever used. Great grip and feel.,2024,12,4,False,False,False,False,True,False,False,False,False
1,699.95,699.95,5,My home is now a cafe! The learning curve is steep but so worth it.,2024,12,4,False,False,False,True,False,False,True,False,False
1,79.9,79.9,4,So packable and warm for its weight. Perfect for travel.,2024,12,4,False,True,False,False,False,False,False,False,True
2,12.99,25.98,5,A masterpiece of science fiction. The world-building is unparalleled.,2024,12,4,True,False,False,False,False,True,False,True,False
1,28.0,28.0,2,Did nothing for my damaged hair. A complete waste of money for me.,2024,12,5,False,False,False,False,False,False,True,False,False
1,449.99,449.99,5,Incredible running watch. The GPS is accurate and the data insights are superb.,2024,12,5,False,False,False,False,True,False,False,False,True
3,49.99,149.97,4,Surprisingly good sound for its size. Great for smart home control.,2024,12,5,False,False,True,False,False,True,False,False,False
1,599.99,599.99,1,It constantly gets stuck under my furniture. Not as smart as advertised.,2024,12,5,False,False,False,True,False,False,True,True,False
1,120.0,120.0,0,This sweater started pilling horribly after the first wash. Poor quality.,2024,12,5,False,True,False,False,False,False,False,False,False
1,11.99,11.99,5,Life-changing book. The strategies are practical and actually work.,2024,12,5,True,False,False,False,False,True,False,False,True
1,34.0,34.0,5,This is my holy grail sunscreen. It feels like absolutely nothing on the skin.,2024,12,5,False,False,False,False,False,False,True,True,False
1,199.0,199.0,1,Overpriced and underwhelming. The heat function is weak and the vibrations are loud.,2024,12,5,False,False,False,False,True,False,False,False,False
2,99.99,199.98,4,This has simplified my weeknight cooking so much. Very versatile.,2024,12,5,False,False,False,True,False,False,True,False,False
1,199.95,199.95,5,Incredibly warm and lightweight. Perfect for chilly autumn hikes.,2024,12,5,False,True,False,False,False,False,False,True,False
2,13.99,27.98,4,A poignant and beautifully written story from a unique perspective.,2024,12,5,True,False,False,False,False,True,False,False,False
1,68.0,68.0,2,This broke me out terribly. Not suitable for my sensitive skin.,2024,12,5,False,False,False,False,False,False,True,False,True
1,24.99,24.99,4,Great grip and feel for outdoor courts. Holds up well on concrete.,2024,12,5,False,False,False,False,True,False,False,False,False
1,499.99,499.99,5,Finally got one! The graphics and load times are a game-changer.,2024,12,5,False,False,True,False,False,True,False,True,False
1,179.99,179.99,1,Stopped working after two weeks. The door hinge also feels flimsy.,2024,12,5,False,False,False,True,False,False,True,False,False
1,13.5,13.5,4,A beautiful and thought-provoking concept. A very enjoyable read.,2024,12,5,True,False,False,False,False,True,False,False,False
1,34.0,34.0,5,My new favorite shade! The formula is long-lasting and not drying.,2024,12,5,False,False,False,False,False,False,True,True,False
1,59.99,59.99,5,The best indoor basketball I've ever used. Great grip and feel.,2024,12,5,False,False,False,False,True,False,False,False,False
1,699.95,699.95,5,My home is now a cafe! The learning curve is steep but so worth it.,2024,12,5,False,False,False,True,False,False,True,False,False
1,79.9,79.9,4,So packable and warm for its weight. Perfect for travel.,2024,12,5,False,True,False,False,False,False,False,True,False
2,12.99,25.98,5,A masterpiece of science fiction. The world-building is unparalleled.,2024,12,5,True,False,False,False,False,True,False,False,False
1,28.0,28.0,2,Did nothing for my damaged hair. A complete waste of money for me.,2024,12,5,False,False,False,False,False,False,True,False,True
1,449.99,449.99,5,Incredible running watch. The GPS is accurate and the data insights are superb.,2024,12,5,False,False,False,False,True,False,False,False,False
3,49.99,149.97,4,Surprisingly good sound for its size. Great for smart home control.,2024,12,5,False,False,True,False,False,True,False,True,False
1,599.99,599.99,1,It constantly gets stuck under my furniture. Not as smart as advertised.,2024,12,5,False,False,False,True,False,False,True,False,False
1,120.0,120.0,0,This sweater started pilling horribly after the first wash. Poor quality.,2024,12,5,False,True,False,False,False,False,False,False,True
1,11.99,11.99,5,Life-changing book. The strategies are practical and actually work.,2024,12,5,True,False,False,False,False,True,False,False,False
1,34.0,34.0,5,This is my holy grail sunscreen. It feels like absolutely nothing on the skin.,2024,12,5,False,False,False,False,False,False,True,True,False
1,199.0,199.0,1,Overpriced and underwhelming. The heat function is weak and the vibrations are loud.,2024,12,5,False,False,False,False,True,False,False,False,False
2,99.99,199.98,4,This has simplified my weeknight cooking so much. Very versatile.,2024,12,5,False,False,False,True,False,False,True,False,False
1,199.95,199.95,5,Incredibly warm and lightweight. Perfect for chilly autumn hikes.,2024,12,5,False,True,False,False,False,False,False,True,False
2,13.99,27.98,4,A poignant and beautifully written story from a unique perspective.,2024,12,5,True,False,False,False,False,True,False,False,False
1,68.0,68.0,2,This broke me out terribly. Not suitable for my sensitive skin.,2024,12,5,False,False,False,False,False,False,True,False,True
1,24.99,24.99,4,Great grip and feel for outdoor courts. Holds up well on concrete.,2024,12,5,False,False,False,False,True,False,False,False,False
1,499.99,499.99,5,Finally got one! The graphics and load times are a game-changer.,2024,12,5,False,False,True,False,False,True,False,True,False
1,179.99,179.99,1,Stopped working after two weeks. The door hinge also feels flimsy.,2024,12,5,False,False,False,True,False,False,True,False,False
1,13.5,13.5,4,A beautiful and thought-provoking concept. A very enjoyable read.,2024,12,5,True,False,False,False,False,True,False,False,False
1,34.0,34.0,5,My new favorite shade! The formula is long-lasting and not drying.,2024,12,5,False,False,False,False,False,False,True,True,False
1,59.99,59.99,5,The best indoor basketball I've ever used. Great grip and feel.,2024,12,5,False,False,False,False,True,False,False,False,False
1,699.95,699.95,5,My home is now a cafe! The learning curve is steep but so worth it.,2024,12,5,False,False,False,True,False,False,True,False,False
1,79.9,79.9,4,So packable and warm for its weight. Perfect for travel.,2024,12,5,False,True,False,False,False,False,False,True,False
2,12.99,25.98,5,A masterpiece of science fiction. The world-building is unparalleled.,2024,12,5,True,False,False,False,False,True,False,False,False
1,28.0,28.0,2,Did nothing for my damaged hair. A complete waste of money for me.,2024,12,5,False,False,False,False,False,False,True,False,True
1,449.99,449.99,5,Incredible running watch. The GPS is accurate and the data insights are superb.,2024,12,5,False,False,False,False,True,False,False,False,False
3,49.99,149.97,4,Surprisingly good sound for its size. Great for smart home control.,2024,12,5,False,False,True,False,False,True,False,True,False
1,599.99,599.99,1,It constantly gets stuck under my furniture. Not as smart as advertised.,2024,12,5,False,False,False,True,False,False,True,False,False
1,120.0,120.0,0,This sweater started pilling horribly after the first wash. Poor quality.,2024,12,5,False,True,False,False,False,False,False,False,True
1,11.99,11.99,5,Life-changing book. The strategies are practical and actually work.,2024,12,5,True,False,False,False,False,True,False,False,False
1,34.0,34.0,5,This is my holy grail sunscreen. It feels like absolutely nothing on the skin.,2024,12,5,False,False,False,False,False,False,True,True,False
1,199.0,199.0,1,Overpriced and underwhelming. The heat function is weak and the vibrations are loud.,2024,12,5,False,False,False,False,True,False,False,False,False
2,99.99,199.98,4,This has simplified my weeknight cooking so much. Very versatile.,2024,12,5,False,False,False,True,False,False,True,False,False
1,199.95,199.95,5,Incredibly warm and lightweight. Perfect for chilly autumn hikes.,2024,12,5,False,True,False,False,False,False,False,True,False
2,13.99,27.98,4,A poignant and beautifully written story from a unique perspective.,2024,12,5,True,False,False,False,False,True,False,False,False
1,68.0,68.0,2,This broke me out terribly. Not suitable for my sensitive skin.,2024,12,5,False,False,False,False,False,False,True,False,True
1,24.99,24.99,4,Great grip and feel for outdoor courts. Holds up well on concrete.,2024,12,5,False,False,False,False,True,False,False,False,False
1,499.99,499.99,5,Finally got one! The graphics and load times are a game-changer.,2024,12,5,False,False,True,False,False,True,False,True,False
1,179.99,179.99,1,Stopped working after two weeks. The door hinge also feels flimsy.,2024,12,5,False,False,False,True,False,False,True,False,False
1,13.5,13.5,4,A beautiful and thought-provoking concept. A very enjoyable read.,2024,12,5,True,False,False,False,False,True,False,False,False
1,34.0,34.0,5,My new favorite shade! The formula is long-lasting and not drying.,2024,12,5,False,False,False,False,False,False,True,True,False
1,59.99,59.99,5,The best indoor basketball I've ever used. Great grip and feel.,2024,12,5,False,False,False,False,True,False,False,False,False
1,579.99,579.99,5,Best purchase ever! The ice is just like from a sonic.,2024,12,5,False,False,False,True,False,True,False,False,True
1,89.99,89.99,5,Extremely comfortable and waterproof. Great for tough trails.,2024,12,5,False,True,False,False,False,False,False,True,False
1,10.99,10.99,5,A timeless classic. The adventure is as wonderful as ever.,2024,12,5,True,False,False,False,False,False,True,True,False
1,749.0,749.0,5,Perfect for note-taking and media consumption. The screen is gorgeous.,2024,12,5,False,False,True,False,False,False,True,False,False
1,229.99,229.99,3,Powerful suction but a bit heavier than I expected. Gets the job done.,2024,12,5,False,False,False,True,False,True,False,True,False
1,139.0,139.0,5,Incredibly warm and comfortable. The quality is exceptional as always.,2024,12,5,False,True,False,False,False,False,False,False,False
1,14.99,14.99,5,Could not put this down! A fantastic and gripping story from start to finish.,2024,12,5,True,False,False,False,False,False,True,False,True
1,68.0,68.0,2,This broke me out terribly. Not suitable for my sensitive skin.,2024,12,5,False,False,False,False,False,True,False,True,False
